市场,代码,名称,板块,细分行业,货币,最新价,今日最高,今日最低,今开,成交量,成交额,昨收,总股本,市盈率(动),市盈率(静),市盈率TTM,市净率,换手率%,涨跌幅%,涨跌额,总市值,流通市值,52周最高(前复权),52周最低(前复权)
美股,TAP,摩森康胜,可选消费,酒类,USD,41.46,41.95,41.16,41.41,2005048.0,83070546.0,41.18,176681024.0,-3.18,-3.42,-3.18,0.72,1.15,0.68,0.28,7325195255.0,7218931865.0,54.38,38.43
美股,BUD,百威英博,可选消费,酒类,USD,80.13,80.21,78.98,79.63,3547545.0,282644176.0,79.1,1971565205.0,16.94,23.11,16.94,1.69,0.18,1.3,1.03,157981519877.0,157981519877.0,86.48,56.584
美股,DEO,帝亚吉欧,可选消费,酒类,USD,92.99,93.18,92.32,92.78,486789.0,45160540.0,92.09,556646192.0,29.8,29.8,29.8,4.76,0.09,0.98,0.9,51762529394.0,51762529394.0,108.851,71.67
美股,GIS,通用磨坊,可选消费,食品,USD,41.55,41.67,40.66,40.68,8926546.0,369672848.0,40.44,534629472.0,-253.58,-253.58,-253.58,3.01,1.67,2.74,1.11,22213854562.0,22213854562.0,48.67,31.56
美股,MDLZ,亿滋国际,可选消费,零食,USD,62.36,62.77,61.665,62.71,9165724.0,571233056.0,62.43,1276308057.0,22.64,32.47,22.64,2.99,0.72,-0.11,-0.07,79590570435.0,79590570435.0,64.99,51.51
美股,LW,蓝威斯顿,可选消费,食品,USD,54.98,55.597,54.63,55.06,1279994.0,70475297.0,54.8,137483158.0,26.06,26.06,26.06,4.14,0.93,0.33,0.18,7558824027.0,7558824027.0,66.57,38.48
美股,CAG,康尼格拉,可选消费,食品,USD,16.09,16.235,15.97,16.11,7808283.0,125500469.0,16.02,480067621.0,-4.03,-4.03,-4.03,1.21,1.63,0.44,0.07,7724288022.0,7724288022.0,20.02,12.58
美股,CPB,金宝汤,可选消费,食品,USD,23.39,23.59,23.23,23.32,3513740.0,82261370.0,23.28,298206243.0,11.47,11.64,11.47,1.55,0.0,0.47,0.11,3614793000.0,6975044000.0,49.63,23.39
美股,SJM,盛美家,可选消费,食品,USD,132.34,134.4,131.1,131.94,1449222.0,191808416.0,131.84,106823183.0,61.6,-101.92,61.6,2.46,1.36,0.38,0.5,14136980038.0,14136980038.0,132.34,89.53
美股,KHC,卡夫亨氏,可选消费,食品,USD,25.7,25.75,25.11,25.29,20656600.0,526213264.0,25.13,1185823758.0,-8.97,-5.21,-8.97,0.85,1.74,2.27,0.57,30475670581.0,30475670581.0,27.97,21.21
